CC	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
GAB	4.931781632	5.1639843916423	5.3203247071377	5.46262997491107	5.56890026145811	5.6109978196009	5.61999147154534	5.52619218252391	5.4073925476756	5.26359256700042	5.09479224049837	4.78510536744153	4.46797718399897	4.14340769017069	3.8113968859567	3.471944771357	3.12505134637157	2.77071661100043	2.40894056524357	2.039723209101	1.6630645425727
ETH	6.527844352	9.91887072145201	14.0688244027667	19.0899283753634	24.8459309651128	31.4407339686209	38.7964547173472	46.7589497413424	55.4514923586137	64.8740825691611	75.0267203729846	83.2248285678455	91.7691050830671	100.659549918649	109.896163074592	119.478944550895	129.407894347559	139.683012464584	150.304298901969	161.271753659715	172.585376737821
ERI	0.6335792	0.90352711082662	1.20933899579539	1.56190073541751	1.95901688056132	2.38239706985769	2.84707427938977	3.35670066960757	3.90817617926209	4.50150080835333	5.13667455688128	5.57584741664994	6.0292607137582	6.49691444820606	6.97880861999351	7.47494322912056	7.98531827558721	8.50993375939345	9.04878968053929	9.60188603902473	10.1692228348498
EGY	102.216351744	108.969110616235	115.740988413647	121.734130690172	127.197588330059	131.098694447808	134.533031464703	135.674098694625	136.466896549741	136.911425030051	137.007684135554	132.5415440243	128.041304304903	123.50696497736	118.938526041674	114.335987497842	109.699349345866	105.028611585746	100.323774217481	95.5848372410712	90.811800656517
DZA	53.454692352	55.8800141615819	58.4284458314229	60.7678684795357	62.8396024782168	63.8130524241757	64.5759295435411	63.9767169811663	63.2519627091867	62.4016667276022	61.425829036413	58.5052229366974	55.6166890148949	52.7602272710055	49.9358377050292	47.1435203169661	44.3832751068161	41.6551020745792	38.9590012202554	36.2949725438447	33.6630160453472
DJI	0.552928512	0.60763789667342	0.661346347746344	0.716316167434552	0.771035818681643	0.832996275185326	0.894673207455744	0.945439509977471	0.995969820269743	1.04626413833256	1.09632246416593	1.11824041770856	1.14004831387477	1.16174615266457	1.18333393407794	1.2048116581149	1.22617932477544	1.24743693405957	1.26858448596727	1.28962198049856	1.31054941765342
CPV	0.531386016	0.585854498102402	0.642310984352108	0.697707690220827	0.750311318376897	0.797460119423043	0.841929382500955	0.873016627068637	0.901901200594635	0.92858310307895	0.953062334521582	0.932714941213947	0.91224985808848	0.891667085145179	0.870966622384044	0.850148469805077	0.829212627408276	0.808159095193642	0.786987873161175	0.765698961310874	0.74429235964274
COM	0.203846592	0.249972503095692	0.302054071119185	0.358989660142461	0.420466021414772	0.487082764412211	0.558305147833672	0.630146305772685	0.706203895085803	0.786477915773025	0.870968367834352	0.927002412694615	0.984584304130444	1.04371404214184	1.1043916267288	1.16661705789133	1.23039033562942	1.29571145994308	1.36258043083231	1.4309972482971	1.50096191233746
COG	3.21989376	3.57828493635511	3.91936859401021	4.29444185729684	4.65691763701593	5.01661318009525	5.36341598608592	5.6753347845011	5.97504274086449	6.26253985517608	6.53782612743588	6.66828391669836	6.79091488509582	6.90571903262825	7.01269635929565	7.11184686509802	7.20317055003536	7.28666741410767	7.36233745731496	7.43018067965721	7.49019708113444
COD	4.304347648	6.86535353930279	10.2709772054465	14.6789023663052	19.8654887366021	26.4417715206749	33.9563146966169	42.8246034639426	52.7172000397767	63.6341044241191	75.5753166169698	84.3262851499725	93.4843668185792	103.04956162279	113.021869562604	123.401290638023	134.187824849045	145.381472195672	156.982232677902	168.990106295737	181.405093049175
CMR	8.879292416	10.1081342688883	11.3301358235209	12.5699468817812	13.8400641536392	15.095421298938	16.3798526979322	17.5655750424584	18.7769714313495	20.0140418646055	21.2767863422264	21.7301299658536	22.188049767647	22.6505457476068	23.1176179057329	23.5892662420253	24.0654907564841	24.5462914491091	25.0316683199005	25.5216213688582	26.0161505959822
CIV	10.4252928	11.4691661784953	12.6885117201597	14.0411191104302	15.4159068366821	16.7594651574637	18.1242636832346	19.3589689368307	20.6122966654082	21.884246868967	23.1748195475071	23.5864108842488	24.0016173484815	24.4204389402052	24.8428756594201	25.268927506126	25.698594480323	26.1318765820111	26.5687738111902	27.0092861678604	27.4534136520217
CAF	0.952835776	1.13352921088978	1.35161778127838	1.59521792148811	1.85892028190842	2.13137994866422	2.42246162464122	2.71509961949557	3.02438998798042	3.35033273009578	3.69292784584163	3.93090908039452	4.17417154985126	4.42271525421186	4.67654019347632	4.93564636764463	5.20003377671679	5.46970242069281	5.74465229957269	6.02488341335642	6.31039576204401
BWA	5.250845696	5.36347756909947	5.47941840951793	5.53870895910313	5.57348334272439	5.56038376873769	5.52496523234042	5.44439657269793	5.34387961763667	5.22341436715664	5.08300082125786	4.76661719675709	4.45073188997754	4.13534490091922	3.82045622958211	3.50606587596624	3.19217384007158	2.87878012189815	2.56588472144594	2.25348763871496	1.9415888737052
BFA	2.600700672	3.40156790909323	4.33649425395521	5.47046987415059	6.729154898272	8.2047118907329	9.81846721191149	11.575960640268	13.4723596817882	15.5076643364721	17.6818746043197	19.631867656081	21.6838353027364	23.8377775442857	26.0936943807291	28.4515858120665	30.9114518382979	33.4732924594233	36.1371076754428	38.9028974863563	41.7706618921638
BEN	2.254838784	2.82382468243002	3.48688807022944	4.25138454826621	5.07773400615054	6.00743861044859	7.00311697939418	8.06773460482611	9.19859384591759	10.3956947026686	11.6590371750792	12.3666492898068	13.0929204443577	13.8378506387317	14.6014398729288	15.3836881469491	16.1845954607926	17.0041618144592	17.842387207949	18.699271641262	19.5748151143981
BDI	0.678535232	1.04427218893957	1.56661550051237	2.20618395582855	2.95493855915952	3.89793020728402	4.97067569901687	6.39232162957529	7.98639703839646	9.75290192548039	11.6918362908271	13.0997991055001	14.5816091460672	16.1372664125285	17.7667709048838	19.4701226231332	21.2473215672767	23.0983677373144	25.0232611332461	27.0220017550719	29.0945896027919
AGO	9.12918016	10.6033389029123	12.2466757003796	14.19938578257	16.1715984370086	18.4346839404128	20.7200448447834	23.188702007588	25.6812632216843	28.1977284870722	30.7380978037518	32.3156408852463	33.9073055940003	35.5130919300138	37.1329998932868	38.7670294838192	40.4151807016112	42.0774535466626	43.7538480189736	45.444364118544	47.1490018453739
